Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",ALL HAPPY FAMILY RESTAURANT LTD.,10011 - 106 AVENUE NW,043995024-001,Issued,,"Jan 26, 2024",Chinatown and Area,1140,McCauley,O-day'min,53.549552,-113.492366,"(53.54955203024874, -113.49236559983643)",1,POINT (-113.49236559983643 53.54955203024874)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",SHERLOCK HOLMES,10012 - 101A AVENUE NW,007254876-001,Issued,,"Apr 23, 2023",Downtown,1090,Downtown,O-day'min,53.542532,-113.491344,"(53.54253203054044, -113.49134410241953)",1,POINT (-113.49134410241953 53.54253203054044)
"Amusement Establishment, Restaurant or Food Service",HOLLYWOOD PIZZA & DONAIR #2,10012 - 156 STREET NW,007249586-001,Issued,,"Dec 31, 2023",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.539553,-113.590880,"(53.53955304256051, -113.59087958113362)",1,POINT (-113.59087958113362 53.53955304256051)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",FURUSATO JAPANESE RESTAURANT,10012 - 82 AVENUE NW,150275922-001,Issued,,"Mar 20, 2024",Old Strathcona,5480,Strathcona,papastew,53.518376,-113.489238,"(53.51837603171345, -113.48923811098301)",1,POINT (-113.48923811098301 53.51837603171345)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",CRAFT RESTAURANT AND BAR,10013 - 101A AVENUE NW,142539709-001,Issued,,"Mar 04, 2025",Downtown,1090,Downtown,O-day'min,53.541902,-113.491263,"(53.541902030567904, -113.49126310264889)",1,POINT (-113.49126310264889 53.541902030567904)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",ALL HAPPY FAMILY RESTAURANT,10013 - 106 AVENUE NW,115214924-001,Issued,,"Sep 14, 2024",Chinatown and Area,1140,McCauley,O-day'min,53.549552,-113.492366,"(53.54955203024874, -113.49236559983643)",1,POINT (-113.49236559983643 53.54955203024874)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Residential Rental Accommodation (Long-Term)",THE CHURCHILL,10015 - 103 AVENUE NW,007435178-002,Issued,,"Sep 17, 2023",Downtown,1090,Downtown,O-day'min,53.545187,-113.491763,"(53.54518703043393, -113.49176260143552)",1,POINT (-113.49176260143552 53.54518703043393)
Restaurant or Food Service,BUBBLE T LTD,10015 - 109A AVENUE NW,100481354-001,Issued,,"Aug 08, 2023",Chinatown and Area,1140,McCauley,O-day'min,53.555780,-113.493297,"(53.55578002999314, -113.49329709753812)",1,POINT (-113.49329709753812 53.55578002999314)
Restaurant or Food Service,DOMINO'S PIZZA #10182,10015 - 170 STREET NW,097601982-001,Issued,,"Dec 12, 2024",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.540255,-113.614329,"(53.54025504531174, -113.61432907565599)",1,POINT (-113.61432907565599 53.54025504531174)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",PAZZO PAZZO RESTAURANT INC,10016 - 103 AVENUE NW,007479131-002,Issued,,"Mar 24, 2024",Downtown,1090,Downtown,O-day'min,53.545799,-113.491893,"(53.54579903041342, -113.49189310120104)",1,POINT (-113.49189310120104 53.54579903041342)
Restaurant or Food Service,EDO JAPAN,10016 - 21 AVENUE NW,048122354-005,Issued,,"Oct 15, 2024",,6195,South Edmonton Common,Karhiio,53.451947,-113.487303,"(53.451947035409944, -113.48730313359691)",1,POINT (-113.48730313359691 53.451947035409944)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",OLD SZECHUAN CHINESE RESTAURANT,10016 - 82 AVENUE NW,181776126-002,Issued,,"Dec 11, 2023",Old Strathcona,5480,Strathcona,papastew,53.518376,-113.489391,"(53.51837603173164, -113.48939111094874)",1,POINT (-113.48939111094874 53.51837603173164)
Restaurant or Food Service,DAIRY QUEEN,10018 - 156 STREET NW,081328674-001,Issued,,"Nov 08, 2024",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.539553,-113.590880,"(53.53955304256051, -113.59087958113362)",1,POINT (-113.59087958113362 53.53955304256051)
Restaurant or Food Service,RAYYAN EAST AFRICAN RESTAURANT,10019 - 106 AVENUE NW,445298006-002,Issued,,"Sep 27, 2023",Chinatown and Area,1140,McCauley,O-day'min,53.549525,-113.492820,"(53.54952503030439, -113.49282009974361)",1,POINT (-113.49282009974361 53.54952503030439)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Spectator Entertainment",THE GRINDSTONE,10019 - 81 AVENUE NW,259377161-006,Issued,,"May 11, 2024",Old Strathcona,6610,Ritchie,papastew,53.516792,-113.489553,"(53.51679203184432, -113.48955311144253)",1,POINT (-113.48955311144253 53.51679203184432)
Restaurant or Food Service,MT FUJI,10020 - 100 STREET NW,132927664-001,Issued,,"Dec 17, 2023",Downtown,1090,Downtown,O-day'min,53.539940,-113.491254,"(53.53994003068236, -113.49125410330862)",1,POINT (-113.49125410330862 53.53994003068236)
Restaurant or Food Service,LUI-CHI'S ESPRESSO & FINE TREATS,10020 - 101A AVENUE NW,292494830-002,Issued,,"Dec 09, 2024",Downtown,1090,Downtown,O-day'min,53.542505,-113.491799,"(53.54250503059611, -113.4917986023267)",1,POINT (-113.4917986023267 53.54250503059611)
Restaurant or Food Service,KFC #1709,10021 - 178 STREET NW,125209218-001,Issued,,"Jul 17, 2023",,4400,Place LaRue,Nakota Isga,53.539157,-113.626461,"(53.53915704682094, -113.62646107331365)",1,POINT (-113.62646107331365 53.53915704682094)
Cannabis Retail Sales,ELEVATE,10022 - 167 STREET NW,286518327-007,Issued,,"Apr 16, 2024",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.539823,-113.609820,"(53.539823044800045, -113.60982007680872)",1,POINT (-113.60982007680872 53.539823044800045)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",NAMASTE INDIA RESTAURANT,10023 - 107 AVENUE NW,262629093-002,Issued,,"Sep 24, 2023",Chinatown and Area,1140,McCauley,O-day'min,53.550632,-113.492667,"(53.55063203022102, -113.49266709940659)",1,POINT (-113.49266709940659 53.55063203022102)
Restaurant or Food Service,OLLY FRESCO'S ECC INC,10025 - 102A AVENUE NW,277780631-002,Issued,,"Jul 02, 2023",Downtown,1090,Downtown,O-day'min,53.543756,-113.492766,"(53.54375603063752, -113.49276610169038)",1,POINT (-113.49276610169038 53.54375603063752)
Restaurant or Food Service,MORE THAN BURGERS & FRIES,10025 - JASPER AVENUE NW,092685035-001,Issued,,"Jun 03, 2023",Downtown,1090,Downtown,O-day'min,53.540714,-113.490953,"(53.5407140306009, -113.49095260311674)",1,POINT (-113.49095260311674 53.5407140306009)
Alcohol Sales (Consumption Off-Premises),TOPS LIQUOR,10028 - 82 AVENUE NW,007328371-001,Issued,,"Dec 31, 2023",Old Strathcona,5480,Strathcona,papastew,53.518376,-113.489846,"(53.51837603178569, -113.48984561084688)",1,POINT (-113.48984561084688 53.51837603178569)
"Restaurant or Food Service, Spectator Entertainment",STARLITE ROOM LTD.,10030 - 102 STREET NW,372586922-002,Issued,,"Oct 06, 2023",Downtown,1090,Downtown,O-day'min,53.539841,-113.496092,"(53.53984103126356, -113.49609160225747)",1,POINT (-113.49609160225747 53.53984103126356)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",DE DUTCH PANNEKOEK HOUSE #7,10030 - JASPER AVENUE NW,125848044-001,Issued,,"Nov 16, 2023",Downtown,1090,Downtown,O-day'min,53.541425,-113.491493,"(53.5414250306233, -113.49149260275735)",1,POINT (-113.49149260275735 53.5414250306233)
Restaurant or Food Service,SUBWAY 13479,10036 - JASPER AVENUE NW,356427247-002,Issued,,"Jun 15, 2023",Downtown,1090,Downtown,O-day'min,53.541398,-113.491835,"(53.54139803066555, -113.49183460268974)",1,POINT (-113.49183460268974 53.54139803066555)
Restaurant or Food Service,ARNO'S FINE FRENCH PASTRY,10038 - 116 STREET NW,252355543-002,Issued,,"Jun 29, 2023",,1150,Oliver,O-day'min,53.539985,-113.521832,"(53.53998503431713, -113.52183159644177)",1,POINT (-113.52183159644177 53.53998503431713)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",ASTROS RESTAURANT,10038 - 167 STREET NW,007248396-001,Issued,,"Jan 14, 2025",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.540606,-113.609852,"(53.54060604475796, -113.60985157653887)",1,POINT (-113.60985157653887 53.54060604475796)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",THE CASK & BARREL,10041 - 104 STREET NW,119241476-001,Issued,,"May 14, 2023",Downtown,1090,Downtown,O-day'min,53.540588,-113.498945,"(53.540588031558926, -113.49894460136761)",1,POINT (-113.49894460136761 53.540588031558926)
Restaurant or Food Service,CORA DOWNTOWN EDMONTON,10041 - 106 STREET NW,297963373-002,Issued,,"Dec 10, 2023",Downtown,1090,Downtown,O-day'min,53.539985,-113.502392,"(53.53998503200447, -113.50239160079725)",1,POINT (-113.50239160079725 53.53998503200447)
"Amusement Establishment, Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Retail Sales (Minor)",AUTHENTIC DUNGEONS,10041 - 166 STREET NW,384212935-002,Issued,,"Apr 19, 2024",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.540066,-113.606706,"(53.54006604441498, -113.60670607742317)",1,POINT (-113.60670607742317 53.54006604441498)
Restaurant or Food Service,WISDOM FOOD O/A CARL'S JR.,10041 - 171 STREET NW,423265655-002,Issued,,"Apr 27, 2023",Stony Plain Road and Area,4400,Place LaRue,Nakota Isga,53.540291,-113.615918,"(53.540291045498826, -113.6159175752889)",1,POINT (-113.6159175752889 53.540291045498826)
"Amusement Establishment, Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",H20 LOUNGE,10044 - 82 AVENUE NW,142280204-001,Issued,,"Nov 16, 2024",Old Strathcona,5480,Strathcona,papastew,53.518376,-113.490300,"(53.51837603183969, -113.49030011074504)",1,POINT (-113.49030011074504 53.51837603183969)
Restaurant or Food Service,RED SWAN PIZZA,10046 - 82 AVENUE NW,315612431-007,Issued,,"Dec 23, 2023",Old Strathcona,5480,Strathcona,papastew,53.518376,-113.490300,"(53.51837603183969, -113.49030011074504)",1,POINT (-113.49030011074504 53.51837603183969)
Restaurant or Food Service,DA CAPO WHOLESALE INC.,10047 - 108 STREET NW,451418118-003,Issued,,"Feb 14, 2024",Downtown,1090,Downtown,O-day'min,53.539985,-113.506064,"(53.539985032441265, -113.50606359997441)",1,POINT (-113.50606359997441 53.539985032441265)
Restaurant or Food Service,SHENG'S TEA,10048 - 82 AVENUE NW,443039086-002,Issued,,"Dec 18, 2023",Old Strathcona,5480,Strathcona,papastew,53.518376,-113.490300,"(53.51837603183969, -113.49030011074504)",1,POINT (-113.49030011074504 53.51837603183969)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",BUA THAI RESTAURANT,10049 - 113 STREET NW,007322434-001,Issued,,"Jan 17, 2024",,1150,Oliver,O-day'min,53.540588,-113.515478,"(53.5405880335257, -113.51547759766297)",1,POINT (-113.51547759766297 53.5405880335257)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",HOT WOK RESTAURANT,10050 - 158 STREET NW,182512527-002,Issued,,"Dec 30, 2023",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.540552,-113.594268,"(53.54055204290543, -113.59426808004073)",1,POINT (-113.59426808004073 53.54055204290543)
